yomi,word,note
あまいち,天1,
あまに,天2,
あまさん,天3,
おいこし,追越,
がくじょう,学情,
きしつ,機室,
くらだい,クラ代,
げいせん,芸専,
けんしけん,現視研,
こなくり,"粉クリ,粉とクリーム",
さいり,再履,
ぜっき,絶起,
そうほうさい,雙峰祭,
たいせん,体専,
たくつう,宅通,
ひらかす,平カス,
ひらすな,平砂,
ぶんされん,文サ連,
まつみいけ,松美池,
めそう,メ創,
"ますと,mast",情報メディア創成学類,
"こいんず,coins",情報科学類,
"けーりす,klis,知識",知識情報・図書館学類,
"すうがくるい,math",数学類,math（ます：mathematics）
"ぶつり,phys",物理学類,phys（ふぃず：physics）
"かがく,chem",化学類,chem（けむ：chemistry）
"おうり,coens",応用理工学類,coens（こえんず：College of Engineering Sciences）
"こうしす,esys","工学システム学類,工シス",esys（いーしす：Engineering System）
しゃこう,"社会工学類,社工",
じんぶん,人文学類,
じんぶん,人文,
ひぶん,比較文化学類,
ひぶん,比文,
がくるい,学類,
sohosai,"雙峰祭,学園祭実行委員会"
spoday,"スポーツ・デー学生委員会,スポーツ・デー"
zdk,"全学学類・専門学群・総合学域群代表者会議,全代会"
